,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
15069,desktop,Organic Search,6,352.0,0,Windows,home,google,organic
15070,desktop,Organic Search,3,131.0,0,Windows,home,google,organic
15071,desktop,Organic Search,2,36.0,0,Windows,home,google,organic
15072,desktop,Direct,13,2834.0,0,Windows,home,(direct),(none)
15073,desktop,Direct,11,1940.0,0,Macintosh,home,(direct),(none)
15074,desktop,Organic Search,2,163.0,0,Windows,home,google,organic
15075,desktop,Direct,7,115.0,0,Windows,home,(direct),(none)
15076,desktop,Organic Search,12,204.0,0,Windows,home,google,organic
15077,desktop,Organic Search,3,46.0,0,Windows,home,google,organic
15078,desktop,Direct,4,66.0,0,Macintosh,home,(direct),(none)
15079,desktop,Organic Search,2,13.0,0,Windows,home,google,organic
15080,desktop,Paid Search,23,416.0,0,Windows,home,google,cpc
15081,desktop,Paid Search,4,95.0,0,Windows,home,google,cpc
15082,desktop,Organic Search,3,10.0,0,Windows,home,google,organic
15083,desktop,Organic Search,6,44.0,0,Windows,home,google,organic
15084,desktop,Organic Search,11,148.0,0,Windows,home,google,organic
15085,desktop,Organic Search,5,557.0,0,Windows,home,google,organic
15086,desktop,Paid Search,18,691.0,1,Windows,home,google,cpc
15087,desktop,Paid Search,5,184.0,0,Windows,home,google,cpc
15088,desktop,Direct,10,491.0,0,Windows,home,(direct),(none)
15089,desktop,Direct,23,2875.0,0,Windows,home,(direct),(none)
15090,desktop,Paid Search,2,449.0,0,Windows,product,google,cpc
15091,desktop,Organic Search,8,113.0,0,Windows,home,google,organic
15092,desktop,Organic Search,34,605.0,0,Windows,home,google,organic
15093,desktop,Organic Search,17,1347.0,0,Windows,home,google,organic
15094,desktop,Paid Search,4,215.0,0,Windows,home,google,cpc
15095,desktop,Paid Search,2,47.0,0,Windows,home,google,cpc
15096,desktop,Paid Search,5,39.0,0,Windows,home,google,cpc
15097,desktop,Paid Search,5,410.0,0,Windows,home,google,cpc
15098,desktop,Paid Search,2,13.0,0,Windows,home,google,cpc
15099,desktop,Paid Search,4,13.0,0,Windows,home,google,cpc
15100,desktop,Paid Search,4,90.0,0,Windows,home,google,cpc
15101,desktop,Paid Search,3,17.0,0,Windows,home,google,cpc
15102,desktop,Organic Search,5,54.0,0,Windows,home,google,organic
15103,desktop,Organic Search,4,47.0,0,Windows,home,google,organic
15104,desktop,Organic Search,2,24.0,0,Windows,home,google,organic
15105,desktop,Direct,3,1719.0,0,Windows,product,(direct),(none)
15106,desktop,Direct,23,592.0,0,Windows,home,(direct),(none)
15107,desktop,Organic Search,15,665.0,0,Windows,home,google,organic
